name,url,use,rating,aromas,Alpha Acid-low,Alpha Acid-mid,Alpha Acid-high,Beta Acid-low,Beta Acid-mid,Beta Acid-high,Co-humulone-low,Co-humulone-mid,Co-humulone-high,Total Oil-low,Total Oil-mid,Total Oil-high,Geraniol-low,Geraniol-mid,Geraniol-high,Caryophyllene-low,Caryophyllene-mid,Caryophyllene-high,B-Pinene-low,B-Pinene-mid,B-Pinene-high,Myrcene-low,Myrcene-mid,Myrcene-high,Humulene-low,Humulene-mid,Humulene-high,Linalool-low,Linalool-mid,Linalool-high,Farnesene-low,Farnesene-mid,Farnesene-high,Total-low,Total-mid,Total-high
,,,stars,,%,%,%,%,%,%,%,%,%,mL/100g,mL/100g,mL/100g,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil
Vanguard,https://ychhops.com/varieties/vanguard,aroma,5,[u'Cedar'],4.5,5.5,6.5,5.5,6.25,7,18,19,20,0.5,0.75,1,0.1,0.15,0.2,13,15,17,0.1,0.35,0.6,5,10,15,49,52,55,0.2,0.3,0.4,0,0.5,1,67.4,78.3,89.2
Wai-Iti,https://ychhops.com/varieties/wai-iti,aroma,4,"[u'Citrus', u'Stone Fruit', u'Spicy', u'Fruity']",2.5,3,3.5,4.5,5,5.5,22,23,24,1.6,1.6,1.6,0,0,0,8.9,9,9.1,,,,3,3,3,27.9,28,28.1,,,,12.9,13,13.1,52.7,53,53.3
Whitbread Golding,https://ychhops.com/varieties/whitbread-golding,aroma,1,"[u'Earthy', u'Floral', u'Fruity']",5.4,6.55,7.7,2,2.65,3.3,32,37.5,43,0.8,1,1.2,0,0,0,11,13,15,,,,19,23,27,35,38.5,42,,,,1,1.5,2,66,76,86
Willamette,https://ychhops.com/varieties/willamette,aroma,4.5,"[u'Floral', u'Fruity', u'Herbal']",4.5,5.5,6.5,3,3.75,4.5,28,30,32,0.6,1.1,1.6,0.1,0.2,0.3,12,13,14,0.3,0.4,0.5,22,27,32,31,33,35,0.4,0.55,0.7,7,8.5,10,72.8,82.65,92.5
Yakima Gold,https://ychhops.com/varieties/yakima-gold,aroma,,"[u'Floral', u'Citrus', u'Spicy']",7,7.5,8,3.5,4,4.5,21,22,23,0.5,1,1.5,0,0.1,0.2,5,7,9,0.2,0.4,0.6,35,40,45,18,21,24,0.1,0.3,0.5,8,10,12,66.3,78.8,91.3
Zythoså¨,https://ychhops.com/varieties/zythos,aroma,4,"[u'Citrus', u'Tropical Fruit']",10,11.25,12.5,4.7,5.45,6.2,28,29.5,31,0.7,0.95,1.2,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0
Admiral,https://ychhops.com/varieties/admiral,bittering,4.667,"[u'Citrus', u'Herbal']",13,14.5,16,4,5,6,37,41,45,1,1.35,1.7,0,0,0,6,7,8,,,,39,43.5,48,23,24.5,26,,,,0,1,2,68,76,84
Bravo,https://ychhops.com/varieties/bravo,bittering,5,"[u'Floral', u'Fruity']",15,16.5,18,3.5,4.5,5.5,28,31.5,35,2.3,2.9,3.5,0.7,0.8,0.9,6,7,8,0.8,0.9,1,55,57.5,60,8,9.5,11,0.4,0.5,0.6,0,0.5,1,70.9,76.7,82.5
Brewers Gold,https://ychhops.com/varieties/brewers-gold,bittering,,"[u'Spicy', u'Fruity']",8,9.5,11,4,5.25,6.5,40,44,48,1.5,2.25,3,1,1,1,8,10,12,0.6,0.75,0.9,45,52.5,60,12,15,18,0.5,0.65,0.8,0,0.5,1,67.1,80.4,93.7
Bullion,https://ychhops.com/varieties/bullion,bittering,,"[u'Spicy', u'Fruity']",8.1,8.15,8.2,4.1,4.35,4.6,38,39,40,1,1.5,2,0.1,0.1,0.1,9,11.5,14,0.6,0.7,0.8,40,47.5,55,15,20,25,0.5,0.65,0.8,0,0.5,1,65.2,80.95,96.7
Chelan,https://ychhops.com/varieties/chelan,bittering,,"[u'Citrus', u'Stone Fruit', u'Fruity']",12,13.25,14.5,8.5,9.15,9.8,33,34,35,1.5,1.7,1.9,0,0,0,9,10.5,12,,,,45,50,55,12,13.5,15,,,,0,0.5,1,66,74.5,83
Columbus,https://ychhops.com/varieties/columbus,bittering,3.333,"[u'Earthy', u'Citrus', u'Spicy']",14.5,16,17.5,4.5,5.25,6,28,29,30,2.5,3.5,4.5,0.2,0.35,0.5,6,8,10,0.6,0.8,1,45,50,55,9,11.5,14,0.4,0.5,0.6,0,0.5,1,61.2,71.65,82.1
Comet,https://ychhops.com/varieties/comet,bittering,3.143,"[u'Grassy', u'Citrus']",8,9.25,10.5,4,4.5,5,34,35.5,37,1.2,1.6,2,0.2,0.55,0.9,10,12.5,15,0.8,0.95,1.1,40,47.5,55,1,1.5,2,0.5,0.65,0.8,0,0.5,1,52.5,64.15,75.8
Galena,https://ychhops.com/varieties/galena,bittering,3.333,"[u'Citrus', u'Spicy', u'Fruity']",13,14,15,7.5,8,8.5,34,36.5,39,1.3,1.7,2.1,0.5,0.65,0.8,5,7,9,0.4,0.55,0.7,40,45,50,11,14,17,0.1,0.2,0.3,0,0.5,1,57,67.9,78.8
HBC 682,https://ychhops.com/varieties/hbc-682,bittering,,"[u'Earthy', u'Spicy', u'Herbal']",18,19.5,21,4.5,5,5.5,30,31,32,1,1.5,2,2,2,2,4.5,5,5.5,,,,48,50,52,13,14,15,0.5,0.65,0.8,,,,68,71.65,75.3
Herkules,https://ychhops.com/varieties/herkules,bittering,,"[u'Citrus', u'Fruity']",12,14.5,17,4,4.75,5.5,32,35,38,1.6,2,2.4,0,0,0,7,9.5,12,,,,30,40,50,30,37.5,45,,,,0,0.5,1,67,87.5,108
Magnum,https://ychhops.com/varieties/magnum,bittering,3.333,[],12,13.75,15.5,5.5,6.75,8,23,25.5,28,2,2.5,3,0.3,0.45,0.6,7,9.5,12,0.4,0.6,0.8,30,35,40,25,27.5,30,0.4,0.55,0.7,0,0.5,1,63.1,74.1,85.1
Magnum,https://ychhops.com/varieties/magnum-1,bittering,5,"[u'Spicy', u'Fruity']",11,13.5,16,5,6,7,21,25,29,1.6,2.1,2.6,0,0,0,8,10,12,,,,30,37.5,45,30,37.5,45,0.2,0.25,0.3,0,0.5,1,68.2,85.75,103.3
Millennium,https://ychhops.com/varieties/millennium,bittering,,"[u'Floral', u'Fruity', u'Herbal']",15.5,17,18.5,5,5.75,6.5,29,32,35,1.5,2.25,3,0.1,0.1,0.1,8,9,10,0.4,0.6,0.8,35,45,55,15,20,25,0.3,0.45,0.6,0,0.5,1,58.8,75.65,92.5
Newport,https://ychhops.com/varieties/newport,bittering,4,"[u'Earthy', u'Citrus']",10,11.25,12.5,5.5,6,6.5,36,37,38,1.6,2.05,2.5,0.2,0.2,0.2,7,9,11,0.6,0.75,0.9,45,50,55,15,17.5,20,0.3,0.5,0.7,0,0.5,1,68.1,78.45,88.8
Nugget,https://ychhops.com/varieties/nugget,bittering,4,"[u'Earthy', u'Herbal']",13.5,14.75,16,4.4,4.95,5.5,22,24,26,1,2,3,0.1,0.1,0.1,9,10,11,0.4,0.6,0.8,40,45,50,18,20,22,0.8,0.9,1,0,0.5,1,68.3,77.1,85.9
Olympic,https://ychhops.com/varieties/olympic,bittering,,"[u'Citrus', u'Spicy']",11.5,12.5,13.5,5,5.25,5.5,30,31,32,1,1.5,2,0.6,0.8,1,7,9.5,12,0.6,0.8,1,45,50,55,9,11,13,0.4,0.55,0.7,0,0.5,1,62.6,73.15,83.7
Pacific Gem,https://ychhops.com/varieties/pacific-gem,bittering,5,"[u'Earthy', u'Floral', u'Spicy', u'Fruity']",13,14,15,7,8,9,36,37,38,1.1,1.2,1.3,0,0,0,10,11,12,,,,32,33,34,29.8,29.9,30,,,,0,0.5,1,71.8,74.4,77
Pride of Ringwood,https://ychhops.com/varieties/pride-of-ringwood,bittering,5,[u'Herbal'],8.6,9.55,10.5,4.4,5.7,7,26,30,34,1.6,1.7,1.8,0,0,0,9,11.5,14,,,,24,32.5,41,2,3,4,,,,0,0.5,1,35,47.5,60
Summit‰ã¢,https://ychhops.com/varieties/summit,bittering,4,"[u'Citrus', u'Spicy', u'Herbal']",15,16,17,5,5.75,6.5,29,30.5,32,1.5,2.25,3,0.1,0.35,0.6,12,14,16,0.3,0.45,0.6,30,35,40,18,20,22,0.2,0.3,0.4,0,0.5,1,60.6,70.6,80.6
Super Pride,https://ychhops.com/varieties/superpride,bittering,,[u'Pine'],12.5,14.4,16.3,6,7,8,26,27.5,29,3.4,3.7,4,0,0,0,5,7,9,,,,34,38,42,1,1.5,2,,,,0,0.5,1,40,47,54
Tomahawkå¨,https://ychhops.com/varieties/tomahawk-brand-f10-cv,bittering,,"[u'Citrus', u'Spicy', u'Herbal']",15,16.25,17.5,4.5,5.25,6,28,29,30,2.5,3.5,4.5,0.2,0.2,0.2,6,8,10,0.6,0.8,1,45,50,55,9,11.5,14,0.4,0.5,0.6,0,0.5,1,61.2,71.5,81.8
Warriorå¨,https://ychhops.com/varieties/warrior-brand-ycr-5-cv,bittering,5,"[u'Pine', u'Herbal']",15.5,16.75,18,4.4,5.2,6,25,26.5,28,1,1.75,2.5,0.4,0.6,0.8,11,12.5,14,0.5,0.6,0.7,40,45,50,15,16.5,18,0.4,0.55,0.7,0,0.5,1,67.3,76.25,85.2
Zeus,https://ychhops.com/varieties/zeus,bittering,5,"[u'Spicy', u'Herbal']",14.5,16,17.5,4,4.75,5.5,26,28.5,31,2.5,3.5,4.5,0.2,0.35,0.5,6,8,10,0.6,0.8,1,45,50,55,9,11.5,14,0.4,0.5,0.6,0,0.5,1,61.2,71.65,82.1
Aurora,https://ychhops.com/varieties/aurora,dual-purpose,5,"[u'Earthy', u'Herbal']",7,10,13,2.7,3.55,4.4,20,23,26,0.9,1.25,1.6,0,0,0,6,7.5,9,,,,20,22.5,25,20,22.5,25,,,,5,7.5,10,51,60,69
Bitter Gold,https://ychhops.com/varieties/bitter-gold,dual-purpose,,"[u'Grassy', u'Stone Fruit', u'Tropical Fruit']",12,13.25,14.5,4.5,5.25,6,36,38.5,41,1,1.5,2,0.1,0.1,0.1,7,9,11,0.6,0.75,0.9,45,50,55,10,14,18,0.4,0.55,0.7,0,0.5,1,63.1,74.9,86.7
Boadicea,https://ychhops.com/varieties/boadicea,dual-purpose,5,"[u'Floral', u'Fruity']",7.5,8.75,10,3.2,3.7,4.2,23,26,29,1.4,1.8,2.2,0,0,0,15,17,19,,,,30,35,40,19.9,20,20.1,,,,0,2.5,5,64.9,74.5,84.1
Bramling Cross,https://ychhops.com/varieties/bramling-cross,dual-purpose,5,"[u'Spicy', u'Fruity']",5,6,7,2.3,2.75,3.2,33,34,35,0.7,0.85,1,0,0,0,14.9,15,15.1,,,,35,36,37,29.9,30,30.1,,,,0,0.5,1,79.8,81.5,83.2
Celeia,https://ychhops.com/varieties/celeia,dual-purpose,,"[u'Earthy', u'Herbal']",3,4.5,6,2,2.65,3.3,26,27.5,29,0.6,2.1,3.6,0,0,0,8,8.5,9,,,,26,30.5,35,18,20.5,23,,,,3,5,7,55,64.5,74
Centennial,https://ychhops.com/varieties/centennial,dual-purpose,4.333,"[u'Floral', u'Citrus']",7,9.5,12,3.5,4.5,5.5,23,25,27,1,2,3,1.2,1.5,1.8,5,6,7,0.8,0.9,1,55,60,65,10,15,20,0.6,0.75,0.9,0,0.5,1,72.6,84.65,96.7
Challenger,https://ychhops.com/varieties/challenger,dual-purpose,5,"[u'Fruity', u'Herbal', u'Cedar']",6.5,7.5,8.5,4,4.25,4.5,20,22.5,25,1,1.35,1.7,0,0,0,9.5,9.5,9.5,,,,30,36,42,25,25,25,,,,0,0.5,1,64.5,71,77.5
Chinook,https://ychhops.com/varieties/chinook,dual-purpose,4.1,"[u'Citrus', u'Spicy', u'Pine']",11.5,13.25,15,3,3.5,4,27,29,31,1,1.75,2.5,0.7,0.85,1,9,10,11,0.3,0.4,0.5,20,25,30,18,21,24,0.3,0.4,0.5,0,0.5,1,48.3,58.15,68
Cluster,https://ychhops.com/varieties/cluster,dual-purpose,4.5,"[u'Earthy', u'Floral', u'Fruity']",6,7.5,9,4,5,6,36,38.5,41,0.5,0.75,1,0.6,0.75,0.9,8,9,10,0.5,0.6,0.7,38,42,46,15,17.5,20,0.4,0.6,0.8,0,0.5,1,62.5,70.95,79.4
Dr. Rudi,https://ychhops.com/varieties/dr-rudi,dual-purpose,3.5,"[u'Pine', u'Herbal']",10,11,12,7,7.75,8.5,33,34.5,36,1.3,1.3,1.3,0,0,0,10.1,10.1,10.1,,,,29,29.5,30,33.2,33.2,33.2,,,,0,0.5,1,72.3,73.3,74.3
East Kent Golding,https://ychhops.com/varieties/east-kent-golding,dual-purpose,5,"[u'Citrus', u'Spicy']",4.5,5.5,6.5,1.9,2.35,2.8,28,30,32,0.4,0.6,0.8,0,0,0,12,14,16,,,,29,30,31,38,41,44,,,,0,0.5,1,79,85.5,92
Ella,https://ychhops.com/varieties/ella,dual-purpose,4.667,"[u'Floral', u'Spicy']",13.3,14.8,16.3,4.8,6.3,7.8,34,36,38,2.4,2.9,3.4,0,0,0,12,15,18,,,,40,45,50,16,19,22,,,,0,0.5,1,68,79.5,91
First Gold,https://ychhops.com/varieties/first-gold,dual-purpose,,"[u'Floral', u'Citrus', u'Stone Fruit', u'Fruity']",5.6,7.45,9.3,2.3,3.2,4.1,32,33,34,0.7,1.1,1.5,0,0,0,6,6.5,7,,,,24,25.5,27,20,22,24,,,,2,3,4,52,57,62
Galaxy,https://ychhops.com/varieties/galaxy,dual-purpose,4,[u'Fruity'],11.6,13.8,16,5,5.95,6.9,32,37,42,3,4,5,0,0,0,7,8,9,,,,33,51,69,1,1.5,2,,,,2,3,4,43,63.5,84
Glacier,https://ychhops.com/varieties/glacier,dual-purpose,5,"[u'Fruity', u'Cedar']",4,5.75,7.5,7,8.5,10,13,14.5,16,0.8,0.9,1,0.2,0.25,0.3,8,10.5,13,0.2,0.4,0.6,35,40,45,25,30,35,0.8,0.95,1.1,0,0.5,1,69.2,82.6,96
Green Bullet,https://ychhops.com/varieties/green-bullet,dual-purpose,4,"[u'Floral', u'Spicy', u'Fruity', u'Pine']",11,12.5,14,6.5,6.75,7,38,38.5,39,1,1.1,1.2,0,0,0,9.1,9.2,9.3,,,,37,38,39,28.1,28.2,28.3,,,,0,0.5,1,74.2,75.9,77.6
HBC 431 ,https://ychhops.com/varieties/hbc-431,dual-purpose,,"[u'Floral', u'Citrus', u'Spicy', u'Tropical Fruit', u'Fruity', u'Herbal']",14,15,16,4,4.5,5,18,18,18,1.5,1.5,1.5,0.6,0.6,0.6,13,13.5,14,,,,33,35,37,22,24,26,0.5,0.5,0.5,,,,69.1,73.6,78.1
Helga,https://ychhops.com/varieties/helga,dual-purpose,,"[u'Earthy', u'Herbal']",5.4,6.35,7.3,5,6,7,20,21.5,23,0.6,0.8,1,0,0,0,10,12.5,15,,,,1,7,13,35,45,55,0.1,0.35,0.6,0,0.5,1,46.1,65.35,84.6
Horizon,https://ychhops.com/varieties/horizon,dual-purpose,,"[u'Floral', u'Spicy']",8.8,10.4,12,5.5,6.5,7.5,16,17.5,19,0.5,1,1.5,0.1,0.3,0.5,8,11,14,0.6,0.7,0.8,45,50,55,10,15,20,0.9,1.2,1.5,3,4,5,67.6,82.2,96.8
Kohatu,https://ychhops.com/varieties/kohatu,dual-purpose,,[u'Tropical Fruit'],6,6.5,7,4,4.5,5,20,21,22,1,1,1,0,0,0,11.5,11.5,11.5,,,,35,35.5,36,36,36.5,37,,,,0,0.5,1,82.5,84,85.5
Loral‰ã¢,https://ychhops.com/varieties/hbc-291,dual-purpose,4.5,"[u'Floral', u'Citrus', u'Fruity', u'Herbal']",11.3,11.75,12.2,4.9,5.1,5.3,21,22.5,24,1.8,2.35,2.9,0.2,0.25,0.3,5,5.35,5.7,0.6,0.65,0.7,52,55,58,17.8,17.85,17.9,1,1.05,1.1,0,0.5,1,76.6,80.65,84.7
Merkur,https://ychhops.com/varieties/merkur,dual-purpose,,"[u'Tropical Fruit', u'Herbal']",12,13,14,4.5,5,5.5,18,19,20,2,2.5,3,0,0,0,8,9,10,,,,45,47.5,50,28,30,32,0.6,0.85,1.1,0,0.5,1,81.6,87.85,94.1
Mt. Rainier,https://ychhops.com/varieties/mt-rainier,dual-purpose,5,"[u'Floral', u'Herbal']",5,6,7,8,9,10,21,22,23,1.5,2,2.5,0.2,0.3,0.4,6,8,10,0.6,0.7,0.8,50,55,60,15,17.5,20,0.6,0.75,0.9,0,0.5,1,72.4,82.75,93.1
Nelson Sauvin,https://ychhops.com/varieties/nelson-sauvin,dual-purpose,4.6,[u'Fruity'],12,12.5,13,6,7,8,23,24,25,1.1,1.1,1.1,0,0,0,10.7,10.7,10.7,,,,22,22.5,23,36.4,36.4,36.4,,,,0,0.5,1,69.1,70.1,71.1
